iter	Passed	Remaining
837	2458	475
838	2460	472
839	2463	469
840	2466	466
841	2469	463
842	2472	460
843	2474	457
844	2476	454
845	2480	451
846	2483	448
847	2485	445
848	2487	442
849	2489	439
850	2491	436
851	2496	433
852	2498	430
853	2500	427
854	2502	424
855	2504	421
856	2506	418
857	2510	415
858	2512	412
859	2515	409
860	2518	406
861	2520	403
862	2525	400
863	2528	397
864	2530	394
865	2532	391
866	2535	388
867	2538	386
868	2540	382
869	2542	379
870	2544	376
871	2546	373
872	2548	370
873	2550	367
874	2554	364
875	2556	361
876	2558	358
877	2560	355
878	2562	352
879	2564	349
880	2567	346
881	2569	343
882	2571	340
883	2573	337
884	2575	334
885	2577	331
886	2579	328
887	2583	325
888	2585	322
889	2587	319
890	2589	316
891	2590	313
892	2592	310
893	2594	307
894	2598	304
895	2600	301
896	2602	298
897	2603	295
898	2605	292
899	2607	289
900	2609	286
901	2612	283
902	2614	280
903	2616	277
904	2618	274
905	2620	271
906	2623	268
907	2626	266
908	2628	263
909	2631	260
910	2634	257
911	2636	254
912	2640	251
913	2643	248
914	2645	245
915	2647	242
916	2650	239
917	2652	236
918	2656	234
919	2659	231
920	2661	228
921	2663	225
922	2666	222
923	2669	219
924	2672	216
925	2674	213
926	2676	210
927	2678	207
928	2680	204
929	2683	201
930	2686	199
931	2688	196
932	2690	193
933	2693	190
934	2695	187
935	2700	184
936	2702	181
937	2704	178
938	2706	175
939	2708	172
940	2710	169
941	2714	167
942	2716	164
943	2719	161
944	2721	158
945	2723	155
946	2725	152
947	2728	149
948	2730	146
949	2732	143
950	2734	140
951	2736	137
952	2738	135
953	2740	132
954	2743	129
955	2745	126
956	2747	123
957	2749	120
958	2751	117
959	2753	114
960	2755	111
961	2758	108
962	2761	106
963	2763	103
964	2765	100
965	2766	97
966	2769	94
967	2772	91
968	2775	88
969	2777	85
970	2779	83
971	2781	80
972	2784	77
973	2787	74
974	2789	71
975	2791	68
976	2793	65
977	2795	62
978	2797	60
979	2800	57
980	2803	54
981	2805	51
982	2807	48
983	2809	45
984	2812	42
985	2814	39
986	2817	37
987	2819	34
988	2821	31
989	2823	28
990	2825	25
991	2827	22
992	2831	19
993	2833	17
994	2835	14
995	2837	11
996	2839	8
997	2841	5
998	2842	2
999	2846	0
